{'13069': '0', '13070': '67', '13071': '133', '13072': '31', '13073': '166', '13074': '64', '13075': '318', '13076': '205', '13077': '195', '13078': '0', '13079': '330', '13080': '310', '13081': '249', '13082': '0', '13086': '333', '13345': '216', '13346': '112', '13347': '150', '13348': '238', '13350': '0', '13434': '175', '13435': '155', '13436': '171', '13437': '248', '13438': '35', '13444': '82', '13446': '106', '13454': '0', '13455': '0', '13456': '0', '13457': '0', '13458': '0', '13459': '0', '13460': '0', '13461': '0', '13462': '0', '13463': '1', '13464': '0', '13465': '0', '13466': '0', '13467': '0', '13470': '0', '13471': '0', '13472': '1', '13473': '0', '13478': '0'}
{'13069': '20200101', '13070': '20200101', '13071': '20200101', '13072': '20200101', '13073': '20200101', '13074': '20200101', '13075': '20200101', '13076': '20200101', '13077': '20200101', '13078': '20200101', '13079': '20200101', '13080': '20200101', '13081': '20200101', '13082': '20200101', '13086': '20200101', '13345': '20200101', '13346': '20200101', '13347': '20200101', '13348': '20200101', '13350': '20200101', '13434': '20200101', '13435': '20200101', '13436': '20200101', '13437': '20200101', '13438': '20200101', '13444': '20200101', '13446': '20200101', '13454': '20200101', '13455': '20200101', '13456': '20200101', '13457': '20200101', '13458': '20200101', '13459': '20200101', '13460': '20200101', '13461': '20200101', '13462': '20200101', '13463': '20200101', '13464': '20200101', '13465': '20200101', '13466': '20200101', '13467': '20200101', '13470': '20200101', '13471': '20200101', '13472': '20200101', '13473': '20200101', '13478': '20200101'}
20200312,143,318,508,107,792,356,1197,933,807,0,1199,1326,1072,0,1038,842,408,676,941,0,623,564,604,520,139,300,336,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
20200313,183,321,509,94,727,397,1328,863,813,0,1187,1329,995,0,970,939,420,672,894,0,374,507,633,121,153,212,253,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
20200314,76,126,237,32,313,160,641,354,432,0,527,593,419,0,408,364,151,235,480,0,316,212,249,224,68,149,103,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0
20200315,59,71,149,24,164,102,420,264,295,0,328,370,263,0,298,226,96,203,277,0,141,160,140,142,34,97,58,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
20200316,138,281,516,95,773,321,1270,811,771,0,1188,1221,1055,0,1007,876,432,484,965,0,689,588,582,477,157,244,295,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20200317,123,339,453,118,758,322,1377,805,677,0,1206,1322,1081,0,821,886,424,657,967,0,489,554,635,369,151,230,234,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20200318,122,276,518,97,795,319,1409,793,809,0,1178,1187,988,0,960,915,404,554,994,1,355,515,630,386,146,223,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20200319,107,312,516,91,784,269,1334,923,753,0,1146,1193,1015,0,1032,903,425,404,1002,0,537,527,624,445,151,254,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200320,111,260,454,87,714,326,1130,951,586,0,1150,1136,927,0,959,902,407,404,917,0,508,493,572,430,144,208,220,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
20200321,37,109,208,39,302,91,520,476,255,0,611,527,394,0,447,450,254,148,492,1,314,265,243,220,65,188,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200322,35,67,142,40,130,57,300,223,181,0,339,270,255,0,315,185,121,81,240,0,279,191,118,122,41,114,111,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
20200323,104,271,445,86,740,261,983,741,519,0,1070,1025,923,0,945,771,336,375,860,1,597,552,541,382,123,240,336,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
20200324,70,169,303,53,540,184,834,585,422,0,855,801,671,0,732,645,310,316,615,0,393,406,478,424,95,168,214,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
20200325,65,160,294,49,479,160,733,493,413,0,770,674,595,0,640,539,279,262,574,1,390,399,448,437,74,182,243,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
20200326,30,138,262,43,421,158,723,450,335,0,685,683,526,0,557,518,258,229,474,1,370,345,339,337,75,129,204,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20200327,0,151,261,49,405,158,727,451,352,0,675,633,526,0,543,497,259,192,450,1,386,321,354,385,87,160,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200328,0,70,152,25,192,57,308,245,179,0,297,328,180,0,261,200,113,110,245,0,149,114,153,159,35,52,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200329,0,34,68,21,61,24,178,252,129,0,169,144,100,0,153,110,69,55,154,0,103,80,89,106,14,36,49,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
20200330,0,128,261,51,441,138,675,435,357,0,620,638,458,0,580,441,252,184,446,0,387,293,337,281,63,103,152,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1
20200331,0,132,251,57,393,119,676,398,329,0,639,658,448,0,550,445,234,201,456,0,341,318,344,309,55,129,218,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20200401,0,134,227,45,391,143,713,363,336,0,609,618,479,0,572,454,235,222,461,0,290,270,339,370,64,116,118,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20200402,0,129,248,40,372,112,654,411,334,0,605,589,478,0,537,411,225,206,436,0,311,255,144,368,53,131,149,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20200403,0,145,252,39,398,125,667,403,355,0,661,632,489,0,491,447,247,194,461,0,309,297,369,385,59,97,146,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20200404,0,53,137,28,210,66,305,200,190,0,269,340,237,0,287,181,113,78,209,0,208,150,174,202,27,90,93,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
